Unnamed: 0,brand,name,price,image_name
2232,Daniel Wellington,Petite St Mawes 32mm,279.0,2232.jpg
2233,TIMEX,TIMEX UFC CORE SHOCK,149.95,2233.jpg
2234,Swatch,BEATING LOVE,120.0,2234.jpg
2235,Mido,Baroncelli Gent,1300.0,2235.jpg
2236,Tissot,Carson Premium Automatic Lady,1225.0,2236.jpg
2237,TONY+WILL,Classic,99.95,2237.jpg
2238,Daniel Wellington,Quadro Lumine Pearl,379.0,2238.jpg
2239,Daniel Wellington,Quadro Ashfield,319.0,2239.jpg
2240,Daniel Wellington,Petite Durham 32mm,279.0,2240.jpg
2241,Swatch,BEATPINK,105.0,2241.jpg
2242,Daniel Wellington,Petite Melrose Lumine 28mm,289.0,2242.jpg
2243,TONY+WILL,Classic,99.95,2243.jpg
2244,Cluse,Vigoureux Womens,209.0,2244.jpg
2245,Maxum,Escapade Black,79.0,2245.jpg
2246,TONY+WILL,Small Astral,99.95,2246.jpg
2247,Cluse,Minuit Mesh,169.0,2247.jpg
2248,Maxum,Button Tea,79.0,2248.jpg
2249,The Horse,The Uniform,159.0,2249.jpg
2250,Mido,Ocean Star Chronograph,3675.0,2250.jpg
2251,Guess,Spec,449.95,2251.jpg
2252,Daniel Wellington,Classic Sheffield 40mm,379.0,2252.jpg
2253,Nixon,Sentry SS,349.99,2253.jpg
2254,Mido,Belluna Sunray,1450.0,2254.jpg
2255,Mido,Ocean Star 200,1675.0,2255.jpg
2256,Guess,Track,399.95,2256.jpg
2257,Mido,Multifort Escape Horween Special Edition,1700.0,2257.jpg
2258,TONY+WILL,Small Classic,99.95,2258.jpg
2259,Swatch,CHRYSANTHEMUM,115.0,2259.jpg
2260,Cluse,Triomphe Mesh,189.0,2260.jpg
2261,Daniel Wellington,Classic Bayswater 40mm,319.0,2261.jpg
2262,Guess,Emblem,349.95,2262.jpg
2263,Mido,Baroncelli,1600.0,2263.jpg
2264,Maxum,Candy Purple,79.0,2264.jpg
2265,Cluse,Feroce Mesh,169.0,2265.jpg
2266,Guess,Treasure,449.95,2266.jpg
